BHK,Area_SqFt,City,Price_Lacs,Locality
2,1189,Thrissur,41.8,Peringottukara
2,1133,Thrissur,30.9,Thrissur
4,2628,Thrissur,122.6,Ollukkara
5,3782,Thrissur,212.6,Chalakudy
3,1736,Thrissur,74.0,Wadakkanchery
3,1652,Thrissur,56.6,Thiruvilwamala
3,1930,Thrissur,84.0,Peringottukara
2,1045,Thrissur,32.6,Vallachira
3,1656,Thrissur,64.8,Pavaratty
4,2370,Thrissur,78.7,Manakkody
2,1409,Thrissur,62.8,Puthukkad
2,1748,Thrissur,59.7,Thiruvilwamala
3,1580,Thrissur,88.6,Cheroor
2,1124,Thrissur,46.8,Puthenchira
3,1682,Thrissur,42.5,Olarikkara
3,1489,Thrissur,75.7,Pavaratty
2,800,Thrissur,43.1,Sreenarayanapuram
2,1282,Thrissur,60.4,Wadakkanchery
3,2479,Thrissur,135.9,Paravattani
3,1862,Thrissur,85.1,Sreenarayanapuram
2,1214,Thrissur,48.3,Nellikunnu
5,4477,Thrissur,1181.7,Mission Quarters
3,2507,Thrissur,184.3,Viyyur
3,1101,Thrissur,38.7,Varadiyam
3,2305,Thrissur,80.6,Thrissur
4,3068,Thrissur,152.6,Chalakudy
2,1223,Thrissur,55.9,Nehru Nagar
3,1618,Thrissur,374.2,Mission Quarters
2,1165,Thrissur,60.2,Ollukkara
2,1348,Thrissur,73.7,Cheroor
2,1649,Thrissur,274.7,Kuriachira
4,2590,Thrissur,157.5,Chiyyaram
5,3600,Thrissur,175.8,Chalakudy
4,2473,Thrissur,52.5,Chelakkara
4,2696,Thrissur,98.2,Thrissur
4,2984,Thrissur,36.3,Cheruthuruthy
2,1270,Thrissur,58.0,Puthukkad
3,1542,Thrissur,84.2,Chiyyaram
3,2064,Thrissur,57.2,Olarikkara
2,970,Thrissur,69.1,Athani
3,1487,Thrissur,40.0,Thiruvilwamala
2,1235,Thrissur,27.0,Kannara
3,1749,Thrissur,94.9,Adatt
3,2113,Thrissur,51.5,Olarikkara
4,1885,Thrissur,93.1,Cheroor
2,1315,Thrissur,52.1,Vinayaka nagar
2,1170,Thrissur,93.5,Elthuruth
4,2755,Thrissur,130.9,Adatt
2,800,Thrissur,61.3,Elthuruth
5,2839,Thrissur,100.3,Wadakkanchery
3,1329,Thrissur,62.6,Chiyyaram
4,2039,Thrissur,118.1,Chalakudy
3,2125,Thrissur,111.2,Koorkenchery
3,1582,Thrissur,247.8,Kuriachira
4,3038,Thrissur,45.7,Chelakkara
4,2874,Thrissur,123.5,Kolazhy
2,1083,Thrissur,34.8,Vellanikkara
5,3049,Thrissur,93.7,Thiruvilwamala
2,985,Thrissur,30.9,Olarikkara
2,1119,Thrissur,82.6,Triprayar
4,2220,Thrissur,135.8,Koorkenchery
4,1780,Thrissur,94.0,Pavaratty
4,2348,Thrissur,563.9,Mission Quarters
2,1083,Thrissur,47.3,Sreenarayanapuram
2,1627,Thrissur,56.6,Peringottukara
2,1037,Thrissur,10.7,Arimbur
2,1265,Thrissur,99.3,Triprayar
3,2608,Thrissur,162.9,Paravattani
2,1118,Thrissur,45.7,Cheroor
2,1004,Thrissur,74.6,Triprayar
2,800,Thrissur,21.9,Olarikkara
3,1431,Thrissur,58.7,Mathilakam
4,2400,Thrissur,193.5,Triprayar
3,2072,Thrissur,40.2,Chelakkara
2,1355,Thrissur,58.0,Wadakkanchery
3,1845,Thrissur,50.4,Olarikkara
3,1745,Thrissur,51.4,Olarikkara
2,1341,Thrissur,55.5,Puthukkad
2,1083,Thrissur,64.6,Athani
3,1874,Thrissur,19.5,Arimbur
3,1424,Thrissur,50.8,Thrissur
4,3036,Thrissur,195.4,Adatt
3,2404,Thrissur,166.7,Koorkenchery
3,1125,Thrissur,67.8,East Fort Junction
3,1864,Thrissur,110.2,Paravattani
4,2914,Thrissur,97.3,Vellanikkara
3,1682,Thrissur,58.2,Vellanikkara
4,3961,Thrissur,180.5,Nehru Nagar
5,2837,Thrissur,94.9,Vallachira
3,1579,Thrissur,28.4,Chelakkara
2,1489,Thrissur,99.4,Nehru Nagar
4,1825,Thrissur,67.2,Ollukkara
3,1827,Thrissur,150.2,Triprayar
3,1556,Thrissur,40.9,Thrissur
2,1347,Thrissur,20.6,Kannara
4,3051,Thrissur,184.5,Chalakudy
4,2954,Thrissur,552.4,Kuriachira
4,2170,Thrissur,98.3,Vinayaka nagar
3,2332,Thrissur,94.3,Mathilakam
2,988,Thrissur,55.8,Chembukkav
3,2372,Thrissur,125.6,Athani
3,1969,Thrissur,84.5,Peringottukara
2,1068,Thrissur,45.7,Vellanikkara
2,800,Thrissur,37.5,Vinayaka nagar
5,1861,Thrissur,34.5,Chelakkara
5,3359,Thrissur,151.4,Sreenarayanapuram
3,1547,Thrissur,65.0,Peringottukara
3,1451,Thrissur,29.1,Chelakkara
5,2474,Thrissur,134.2,Athani
3,1715,Thrissur,100.9,Athani
3,1111,Thrissur,28.1,Irinjalakuda
2,1286,Thrissur,66.6,Pavaratty
4,1766,Thrissur,73.1,Puthenchira
2,1639,Thrissur,50.6,Olarikkara
3,1578,Thrissur,79.3,Guruvayur
2,1544,Thrissur,60.4,Punkunnam
2,1201,Thrissur,65.5,Sreenarayanapuram
4,2422,Thrissur,535.9,Mission Quarters
3,1307,Thrissur,16.0,Cheruthuruthy
3,1992,Thrissur,100.7,Athani
3,2259,Thrissur,154.9,Paravattani
5,2945,Thrissur,122.4,Puthenchira
3,2032,Thrissur,115.7,Chiyyaram
5,3821,Thrissur,41.2,Arimbur
3,1374,Thrissur,14.8,Arimbur
3,1065,Thrissur,49.6,Wadakkanchery
2,1657,Thrissur,71.2,Puthukkad
5,3136,Thrissur,120.9,Mathilakam
2,1230,Thrissur,58.1,Chiyyaram
3,1626,Thrissur,41.9,Thrissur
2,1287,Thrissur,16.2,Cheruthuruthy
3,1461,Thrissur,44.5,Manakkody
3,1639,Thrissur,455.4,Mission Quarters
3,1628,Thrissur,40.3,Thiruvilwamala
2,855,Thrissur,8.4,Arimbur
3,1731,Thrissur,69.0,Guruvayur
4,2064,Thrissur,64.3,Puthenchira
3,1877,Thrissur,55.1,Varadiyam
4,2046,Thrissur,93.9,Kolazhy
5,3347,Thrissur,109.5,Vallachira
3,2392,Thrissur,64.2,Vallachira
2,1140,Thrissur,82.7,Chembukkav
3,1449,Thrissur,26.9,Kannara
2,1219,Thrissur,49.8,Vellanikkara
2,1485,Thrissur,41.0,Thiruvilwamala
2,1253,Thrissur,37.8,Varadiyam
3,2283,Thrissur,127.6,East Fort Junction
3,1329,Thrissur,15.6,Arimbur
3,1077,Thrissur,50.9,Sreenarayanapuram
3,2184,Thrissur,22.5,Arimbur
3,1978,Thrissur,52.2,Thiruvilwamala
3,1730,Thrissur,174.3,Viyyur
2,1391,Thrissur,70.9,Kolazhy
2,1234,Thrissur,24.1,Kannara
5,4225,Thrissur,277.6,Triprayar
3,2383,Thrissur,516.1,Mission Quarters
4,3286,Thrissur,94.0,Vallachira
3,1895,Thrissur,68.9,Thrissur
3,1177,Thrissur,41.8,Mathilakam
3,2247,Thrissur,105.9,Chiyyaram
4,2801,Thrissur,76.4,Varadiyam
3,1393,Thrissur,24.6,Kannara
3,1861,Thrissur,107.8,Paravattani
5,3053,Thrissur,74.2,Thiruvilwamala
4,2655,Thrissur,108.3,Puthenchira
2,1367,Thrissur,358.7,Mission Quarters
3,2113,Thrissur,84.6,Vellanikkara
3,1682,Thrissur,18.7,Cheruthuruthy
3,2178,Thrissur,101.6,Kolazhy
3,1496,Thrissur,77.2,Chiyyaram
5,2469,Thrissur,96.3,Vinayaka nagar
4,2537,Thrissur,132.2,Kolazhy
3,1972,Thrissur,84.9,Puthukkad
3,2369,Thrissur,131.6,Sreenarayanapuram
2,1358,Thrissur,117.4,Triprayar
3,1472,Thrissur,27.4,Kannara
3,2612,Thrissur,132.2,Kolazhy
2,975,Thrissur,93.8,Viyyur
4,3065,Thrissur,188.7,Nehru Nagar
3,2163,Thrissur,45.9,Irinjalakuda
5,1932,Thrissur,88.6,Thiripayar
2,1559,Thrissur,59.3,Pavaratty
2,1408,Thrissur,72.1,Paravattani
5,2438,Thrissur,214.1,Triprayar
