"BHK","Area_SqFt","City","Price_Lacs","Locality","Avg_Price_Per_SqFt","Possession_Status","Listing_Title","Listing_URL","Source","Page_Number"
"3","2000","Thrissur","90","East Nada","4.5k/sq.ft","16th Oct, 2026","3 BHK Independent House in East Nada, Thrissur","https://housing.com/in/buy/resale/page/20259517-3-bhk-independent-house-in-east-nada-for-rs-9000000","Housing.com","1"
"4","3000","Thrissur","220.00000000000003","Punkunnam","7.33k/sq.ft","31st Dec, 2026","4 BHK Independent House in Punkunnam, Thrissur","https://housing.com/in/buy/resale/page/20271738-4-bhk-independent-house-in-punkunnam-for-rs-22000000","Housing.com","1"
"3","2000","Thrissur","68","Koorkenchery","3.4k/sq.ft","6th Jan, 2027","3 BHK Independent House in Koorkenchery","https://housing.com/in/buy/resale/page/20023913-3-bhk-independent-house-in-koorkenchery-for-rs-6800000","Housing.com","1"
"3","2001","Thrissur","68","Koorkenchery","3.4k/sq.ft","8th May, 2026","3 BHK Independent House in Koorkenchery, Thrissur","https://housing.com/in/buy/resale/page/20187695-3-bhk-independent-house-in-koorkenchery-for-rs-6800000","Housing.com","1"
"4","2200","Thrissur","105","Mannuthy","4.77k/sq.ft","Ready to move","4 BHK Independent House in Mannuthy, Thrissur","https://housing.com/in/buy/resale/page/19995149-4-bhk-independent-house-in-mannuthy-for-rs-10500000","Housing.com","1"
"3","2001","Thrissur","90","Kunnamkulam","4.5k/sq.ft","1st Nov, 2026","3 BHK Independent House in Kunnamkulam, Thrissur","https://housing.com/in/buy/resale/page/20287602-3-bhk-independent-house-in-kunnamkulam-for-rs-9000000","Housing.com","1"
"3","2000","Thrissur","68","Punkunnam","3.4k/sq.ft","10th Feb, 2027","3 BHK Independent House in Punkunnam","https://housing.com/in/buy/resale/page/20023648-3-bhk-independent-house-in-punkunnam-for-rs-6800000","Housing.com","1"
"3","2000","Thrissur","68","Nellikunnu","3.4k/sq.ft","10th Dec, 2026","3 BHK Independent House in Nellikunnu","https://housing.com/in/buy/resale/page/20024068-3-bhk-independent-house-in-nellikunnu-for-rs-6800000","Housing.com","1"
"3","2000","Thrissur","90","Thiroor","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in Thiroor, Thrissur","https://housing.com/in/buy/resale/page/20247930-3-bhk-independent-house-in-thiroor-for-rs-9000000","Housing.com","1"
"3","2000","Thrissur","68","Kuriachira","3.4k/sq.ft","9th Oct, 2026","3 BHK Independent House in Kuriachira, Thrissur","https://housing.com/in/buy/resale/page/20194894-3-bhk-independent-house-in-kuriachira-for-rs-6800000","Housing.com","1"
"5","2500","Thrissur","105","Mannuthy","4.2k/sq.ft","Ready to move","5 BHK Independent House in Mannuthy, Thrissur","https://housing.com/in/buy/resale/page/20303350-5-bhk-independent-house-in-mannuthy-for-rs-10500000","Housing.com","1"
"3","2000","Thrissur","68","Naikkanal","3.4k/sq.ft","28th Nov, 2026","3 BHK Independent House in Naikkanal","https://housing.com/in/buy/resale/page/20024204-3-bhk-independent-house-in-naikkanal-for-rs-6800000","Housing.com","1"
"3","2000","Thrissur","90","Muthuvattoor","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in Muthuvattoor, Thrissur","https://housing.com/in/buy/resale/page/20246681-3-bhk-independent-house-in-muthuvattoor-for-rs-9000000","Housing.com","1"
"3","1500","Thrissur","60","Muringoor","4.0k/sq.ft","Ready to move","3 BHK Independent House in Muringoor, Thrissur","https://housing.com/in/buy/resale/page/18840687-3-bhk-independent-house-in-muringoor-for-rs-6000000","Housing.com","2"
"4","4500","Thrissur","200","Paravattani","4.44k/sq.ft","Ready to move","4 BHK Independent House in Paravattani, Thrissur","https://housing.com/in/buy/resale/page/11573912-4-bhk-independent-house-in-paravattani-for-rs-20000000-v2","Housing.com","2"
"3","2000","Thrissur","90","Guruvayur","4.5k/sq.ft","1st Nov, 2026","3 BHK Independent House in Guruvayur, Thrissur","https://housing.com/in/buy/resale/page/20242756-3-bhk-independent-house-in-guruvayoor-for-rs-9000000","Housing.com","2"
"4","2100","Thrissur","73","Koorkenchery","3.48k/sq.ft","Ready to move","4 BHK Independent House in Koorkenchery","https://housing.com/in/buy/resale/page/19615304-4-bhk-independent-house-in-koorkenchery-for-rs-7300000","Housing.com","2"
"2","800","Thrissur","30","Puthurkkara","3.75k/sq.ft","Ready to move","2 BHK Independent House in Puthurkkara, Thrissur","https://housing.com/in/buy/resale/page/20155801-2-bhk-independent-house-in-puthurkkara-for-rs-3000000","Housing.com","2"
"3","1700","Thrissur","70","Chalakudy Municipal Central Market, Chalakudy","4.12k/sq.ft","Ready to move","3 BHK Independent House in Chalakudy Municipal Central Market, Chalakudy","https://housing.com/in/buy/resale/page/20127830-3-bhk-independent-house-in-chalakudy-for-rs-7000000","Housing.com","2"
"2","800","Thrissur","95","Chettupuzha","11.88k/sq.ft","Ready to move","2 BHK Independent House in Chettupuzha, Thrissur","https://housing.com/in/buy/resale/page/20132623-2-bhk-independent-house-in-chettupuzha-for-rs-9500000","Housing.com","2"
"3","1450","Thrissur","52","Kottapuram, Kodungallur","3.59k/sq.ft","Ready to move","3 BHK Independent House in Kottapuram, Kodungallur","https://housing.com/in/buy/resale/page/20132757-3-bhk-independent-house-in-kottapuram-for-rs-5200000","Housing.com","2"
"4","1500","Thrissur","65","Irinjalakuda","4.33k/sq.ft","Ready to move","4 BHK Independent House in Irinjalakuda, Thrissur","https://housing.com/in/buy/resale/page/20126656-4-bhk-independent-house-in-irinjalakuda-for-rs-6500000","Housing.com","2"
"3","1800","Thrissur","75","Kalathode","4.17k/sq.ft","Ready to move","3 BHK Independent House in Kalathode, Thrissur","https://housing.com/in/buy/resale/page/20095557-3-bhk-independent-house-in-kalathode-for-rs-7500000","Housing.com","2"
"2","1300","Thrissur","42","Iringaprom","3.23k/sq.ft","Ready to move","2 BHK Independent House in Iringaprom, Thrissur","https://housing.com/in/buy/resale/page/19430372-2-bhk-independent-house-in-iringaprom-for-rs-4200000","Housing.com","2"
"4","1200","Thrissur","48","Ollur","4.0k/sq.ft","Ready to move","4 BHK Independent House in Ollur, Thrissur","https://housing.com/in/buy/resale/page/20136692-4-bhk-independent-house-in-ollur-for-rs-4800000","Housing.com","2"
"4","2800","Thrissur","300","Vasanth Nagar","10.71k/sq.ft","Ready to move","4 BHK Independent House in Vasanth Nagar, Thrissur","https://housing.com/in/buy/resale/page/17857954-4-bhk-independent-house-in-vasanth-nagar-for-rs-30000000","Housing.com","2"
"3","2000","Thrissur","90","Kunnamkulam","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in Kunnamkulam, Thrissur","https://housing.com/in/buy/resale/page/20243080-3-bhk-independent-house-in-kunnamkulam-for-rs-9000000","Housing.com","2"
"3","1000","Thrissur","35","Viyyoor","3.5k/sq.ft","Ready to move","3 BHK Independent House in Viyyoor, Thrissur","https://housing.com/in/buy/resale/page/20035090-3-bhk-independent-house-in-viyyoor-for-rs-3500000","Housing.com","2"
"3","1100","Thrissur","39.5","Annamanada","3.59k/sq.ft","Ready to move","3 BHK Independent House in Annamanada, Thrissur","https://housing.com/in/buy/resale/page/20012042-3-bhk-independent-house-in-annamanada-for-rs-3950000","Housing.com","2"
"4","3300","Thrissur","190","Chiyyaram","5.76k/sq.ft","Ready to move","4 BHK Independent House in Chiyyaram, Thrissur","https://housing.com/in/buy/resale/page/15732602-4-bhk-independent-house-in-chiyyaram-for-rs-19000000","Housing.com","2"
"4","3000","Thrissur","220.00000000000003","Chembukkav","7.33k/sq.ft","1st Dec, 2026","4 BHK Independent House in Chembukkav, Thrissur","https://housing.com/in/buy/resale/page/20286893-4-bhk-independent-house-in-chembukkav-for-rs-22000000","Housing.com","2"
"3","2000","Thrissur","68","Irinjalakuda","3.4k/sq.ft","6th Oct, 2026","3 BHK Independent House in Irinjalakuda, Thrissur","https://housing.com/in/buy/resale/page/20169964-3-bhk-independent-house-in-irinjalakuda-for-rs-6800000","Housing.com","2"
"3","1500","Thrissur","25","Chalakudy","1.67k/sq.ft","Ready to move","3 BHK Independent House in Chalakudy","https://housing.com/in/buy/resale/page/17730731-3-bhk-independent-house-in-chalakudy-for-rs-2500000","Housing.com","2"
"4","2600","Thrissur","175","Chembukkav","6.73k/sq.ft","Ready to move","4 BHK Independent House in Chembukkav, Thrissur","https://housing.com/in/buy/resale/page/20216725-4-bhk-independent-house-in-chembukkav-for-rs-17500000","Housing.com","2"
"4","1800","Thrissur","40","Keltron Nagar, Kolazhy","2.22k/sq.ft","Ready to move","4 BHK Independent House in Keltron Nagar, Kolazhy","https://housing.com/in/buy/resale/page/17874469-4-bhk-independent-house-in-kolazhy-for-rs-4000000","Housing.com","2"
"3","2000","Thrissur","90","Paluvai","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in Paluvai, Thrissur","https://housing.com/in/buy/resale/page/20249388-3-bhk-independent-house-in-paluvai-for-rs-9000000","Housing.com","3"
"5","2500","Thrissur","100","Kuriachira","4.0k/sq.ft","Ready to move","5 BHK Independent House in Kuriachira","https://housing.com/in/buy/resale/page/13288755-5-bhk-independent-house-in-kuriachira-for-rs-10000000","Housing.com","3"
"2","1000","Thrissur","30","Sringapuram, Kodungallur","3.0k/sq.ft","Ready to move","2 BHK Independent House in Sringapuram, Kodungallur","https://housing.com/in/buy/resale/page/19711162-2-bhk-independent-house-in-sringapuram-for-rs-3000000","Housing.com","3"
"3","1720","Thrissur","53","Varadiyam","3.08k/sq.ft","Ready to move","3 BHK Independent House in Varadiyam","https://housing.com/in/buy/resale/page/19681062-3-bhk-independent-house-in-varadiyam-for-rs-5300000","Housing.com","3"
"3","1100","Thrissur","25","Mala","2.27k/sq.ft","Ready to move","3 BHK Independent House in Mala, Thrissur","https://housing.com/in/buy/resale/page/17273930-3-bhk-independent-house-in-mala-for-rs-2500000-v2","Housing.com","3"
"2","1050","Thrissur","46","Maruthayoor","4.38k/sq.ft","Ready to move","2 BHK Independent House in Maruthayoor","https://housing.com/in/buy/resale/page/16496820-2-bhk-independent-house-in-maruthayoor-for-rs-4600000","Housing.com","3"
"3","1850","Thrissur","55","Mannuthy","2.97k/sq.ft","Ready to move","3 BHK Independent House in Mannuthy","https://housing.com/in/buy/resale/page/9435145-3-bhk-independent-house-in-mannuthy-for-rs-5500000","Housing.com","3"
"4","2450","Thrissur","100","Kottekkad, Kuttoor","4.08k/sq.ft","Ready to move","4 BHK Independent House in Kottekkad, Kuttoor","https://housing.com/in/buy/resale/page/20233610-4-bhk-independent-house-in-kuttoor-for-rs-10000000","Housing.com","3"
"3","1100","Thrissur","45","Nedupurha","4.09k/sq.ft","Ready to move","3 BHK Independent House in Nedupurha","https://housing.com/in/buy/resale/page/19702536-3-bhk-independent-house-in-nedupurha-for-rs-4500000","Housing.com","3"
"4","2130","Thrissur","78","Veliyannur","3.66k/sq.ft","Ready to move","4 BHK Independent House in Veliyannur, Thrissur","https://housing.com/in/buy/resale/page/20172290-4-bhk-independent-house-in-veliyannur-for-rs-7800000","Housing.com","3"
"4","3700","Thrissur","195","Patturaikkal","5.27k/sq.ft","Ready to move","4 BHK Independent House in Patturaikkal, Thrissur","https://housing.com/in/buy/resale/page/19842920-4-bhk-independent-house-in-patturaikkal-for-rs-19500000","Housing.com","3"
"5","2000","Thrissur","75","Kottekkad, Attore","3.75k/sq.ft","Ready to move","5 BHK Independent House in Kottekkad, Attore","https://housing.com/in/buy/resale/page/15640673-5-bhk-independent-house-in-attore-for-rs-7500000","Housing.com","3"
"2","1089","Thrissur","17","Anchery","1.56k/sq.ft","Ready to move","2 BHK Independent House in Anchery","https://housing.com/in/buy/resale/page/19806917-2-bhk-independent-house-in-anchery-for-rs-1700000","Housing.com","3"
"2","1995","Thrissur","66","Ollur","3.31k/sq.ft","Ready to move","2 BHK Independent House in Ollur, Thrissur","https://housing.com/in/buy/resale/page/16298178-2-bhk-independent-house-in-ollur-for-rs-6600000","Housing.com","3"
"3","2000","Thrissur","68","Kolazhy","3.4k/sq.ft","7th Jan, 2027","3 BHK Independent House in Kolazhy","https://housing.com/in/buy/resale/page/20023959-3-bhk-independent-house-in-kolazhy-for-rs-6800000","Housing.com","3"
"4","3000","Thrissur","210","Pandikkavu, Viyyoor","7.0k/sq.ft","1st Aug, 2026","4 BHK Independent House in Pandikkavu, Viyyoor","https://housing.com/in/buy/resale/page/20063171-4-bhk-independent-house-in-viyyoor-for-rs-21000000","Housing.com","3"
"3","2000","Thrissur","90","Palayoor","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in Palayoor, Thrissur","https://housing.com/in/buy/resale/page/20242903-3-bhk-independent-house-in-palayoor-for-rs-9000000","Housing.com","3"
"3","2000","Thrissur","90","North Nada","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in North Nada, Thrissur","https://housing.com/in/buy/resale/page/20247446-3-bhk-independent-house-in-north-nada-for-rs-9000000","Housing.com","3"
"3","2000","Thrissur","68","Ayyanthole","3.4k/sq.ft","20th Jan, 2027","3 BHK Independent House in Ayyanthole","https://housing.com/in/buy/resale/page/20023795-3-bhk-independent-house-in-ayyanthole-for-rs-6800000","Housing.com","3"
"4","3000","Thrissur","185","Ayyanthole","6.17k/sq.ft","1st Oct, 2026","4 BHK Independent House in Ayyanthole, Thrissur","https://housing.com/in/buy/resale/page/20033997-4-bhk-independent-house-in-ayyanthole-for-rs-18500000","Housing.com","3"
"2","1600","Thrissur","24","Guruvayur","1.5k/sq.ft","25th Aug, 2026","2 BHK Independent House in Guruvayur, Thrissur","https://housing.com/in/buy/resale/page/19806867-2-bhk-independent-house-in-guruvayoor-for-rs-2400000","Housing.com","3"
"3","2000","Thrissur","90","Mammiyoor","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in Mammiyoor, Thrissur","https://housing.com/in/buy/resale/page/20247647-3-bhk-independent-house-in-mammiyoor-for-rs-9000000","Housing.com","4"
"3","1300","Thrissur","40","Ayyanthole","3.08k/sq.ft","Ready to move","3 BHK Independent House in Ayyanthole, Thrissur","https://housing.com/in/buy/resale/page/20289317-3-bhk-independent-house-in-ayyanthole-for-rs-4000000","Housing.com","4"
"4","3000","Thrissur","220.00000000000003","Patturaikkal","7.33k/sq.ft","1st Dec, 2026","4 BHK Independent House in Patturaikkal, Thrissur","https://housing.com/in/buy/resale/page/20286846-4-bhk-independent-house-in-patturaikkal-for-rs-22000000","Housing.com","4"
"3","2200","Thrissur","90","Guruvayur","4.09k/sq.ft","1st Dec, 2026","3 BHK Independent House in Guruvayur, Thrissur","https://housing.com/in/buy/resale/page/20305175-3-bhk-independent-house-in-guruvayoor-for-rs-9000000","Housing.com","4"
"5","2200","Thrissur","110.00000000000001","Cheroor","5.0k/sq.ft","Ready to move","5 BHK Independent House in Cheroor, Thrissur","https://housing.com/in/buy/resale/page/20126506-5-bhk-independent-house-in-cheroor-for-rs-11000000","Housing.com","4"
"4","3000","Thrissur","180","Kottekkad, Kuttoor","6.0k/sq.ft","Ready to move","4 BHK Independent House in Kottekkad, Kuttoor","https://housing.com/in/buy/resale/page/19977292-4-bhk-independent-house-in-kuttoor-for-rs-18000000","Housing.com","4"
"3","2000","Thrissur","90","Palayoor","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in Palayoor, Thrissur","https://housing.com/in/buy/resale/page/20246440-3-bhk-independent-house-in-palayoor-for-rs-9000000","Housing.com","4"
"4","3000","Thrissur","210","Manathala, Chavakkad","7.0k/sq.ft","1st Nov, 2026","4 BHK Independent House in Manathala, Chavakkad","https://housing.com/in/buy/resale/page/20086513-4-bhk-independent-house-in-chavakkad-for-rs-21000000","Housing.com","4"
"4","2500","Thrissur","75","Guruvayur","3.0k/sq.ft","Ready to move","4 BHK Independent House in Guruvayur, Thrissur","https://housing.com/in/buy/resale/page/19641010-4-bhk-independent-house-in-guruvayoor-for-rs-7500000","Housing.com","4"
"4","2003","Thrissur","93","Nadathara","4.64k/sq.ft","Ready to move","4 BHK Independent House in Nadathara, Thrissur","https://housing.com/in/buy/resale/page/20122785-4-bhk-independent-house-in-nadathara-for-rs-9300000","Housing.com","4"
"4","2000","Thrissur","85","Mannuthy","4.25k/sq.ft","Ready to move","4 BHK Independent House in Mannuthy, Thrissur","https://housing.com/in/buy/resale/page/20213373-4-bhk-independent-house-in-mannuthy-for-rs-8500000","Housing.com","4"
"4","2700","Thrissur","145","Cheroor","5.37k/sq.ft","Ready to move","4 BHK Independent House in Cheroor, Thrissur","https://housing.com/in/buy/resale/page/20233461-4-bhk-independent-house-in-cheroor-for-rs-14500000","Housing.com","4"
"4","3000","Thrissur","160","Kottappuram","5.33k/sq.ft","1st Oct, 2026","4 BHK Independent House in Kottappuram, Thrissur","https://housing.com/in/buy/resale/page/20032164-4-bhk-independent-house-in-kottappuram-for-rs-16000000","Housing.com","4"
"2","150","Thrissur","15","Irinjalakuda","10.0k/sq.ft","Ready to move","2 BHK Independent House in Irinjalakuda","https://housing.com/in/buy/resale/page/19391062-2-bhk-independent-house-in-irinjalakuda-for-rs-1500000","Housing.com","4"
"1","1250","Thrissur","29","Chalakudy","2.32k/sq.ft","Ready to move","1 BHK Independent House in Chalakudy, Thrissur","https://housing.com/in/buy/resale/page/20079420-1-bhk-independent-house-in-chalakudy-for-rs-2900000","Housing.com","4"
"3","1501","Thrissur","76","Pandikkavu, Viyyoor","5.06k/sq.ft","Ready to move","3 BHK Independent House in Pandikkavu, Viyyoor","https://housing.com/in/buy/resale/page/17838066-3-bhk-independent-house-in-viyyoor-for-rs-7600000-v2","Housing.com","4"
"3","2000","Thrissur","90","Kottekkad, Kuttoor","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in Kottekkad, Kuttoor","https://housing.com/in/buy/resale/page/20249075-3-bhk-independent-house-in-kuttoor-for-rs-9000000","Housing.com","4"
"2","950","Thrissur","28","Amalanagar","2.95k/sq.ft","Ready to move","2 BHK Independent House in Amalanagar","https://housing.com/in/buy/resale/page/17646008-2-bhk-independent-house-in-amalanagar-for-rs-2800000","Housing.com","4"
"2","1800","Thrissur","65","Mukkattukara","3.61k/sq.ft","Ready to move","2 BHK Independent House in Mukkattukara, Thrissur","https://housing.com/in/buy/resale/page/20259079-2-bhk-independent-house-in-mukkattukara-for-rs-6500000","Housing.com","4"
"5","2900","Thrissur","135","Meloor","4.66k/sq.ft","Ready to move","5 BHK Independent House in Meloor, Thrissur","https://housing.com/in/buy/resale/page/20228127-5-bhk-independent-house-in-meloor-for-rs-13500000","Housing.com","4"
"3","2000","Thrissur","90","Kottapadi","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in Kottapadi, Thrissur","https://housing.com/in/buy/resale/page/20249661-3-bhk-independent-house-in-kottapadi-for-rs-9000000","Housing.com","4"
"3","1500","Thrissur","75","Vadookara","5.0k/sq.ft","Ready to move","3 BHK Independent House in Vadookara, Thrissur","https://housing.com/in/buy/resale/page/15652965-3-bhk-independent-house-in-vadookara-for-rs-7500000","Housing.com","4"
"4","3000","Thrissur","130","Irinjalakuda","4.33k/sq.ft","Ready to move","4 BHK Independent House in Irinjalakuda","https://housing.com/in/buy/resale/page/16524227-4-bhk-independent-house-in-irinjalakuda-for-rs-13000000","Housing.com","4"
"3","1200","Thrissur","53","Mannuthy","4.42k/sq.ft","Ready to move","3 BHK Independent House in Mannuthy, Thrissur","https://housing.com/in/buy/resale/page/20175013-3-bhk-independent-house-in-mannuthy-for-rs-5300000","Housing.com","4"
"2","850","Thrissur","75","Kattilappoovam, Killannur","8.82k/sq.ft","Ready to move","2 BHK Independent House in Kattilappoovam, Killannur, Thrissur","https://housing.com/in/buy/resale/page/20174852-2-bhk-independent-house-in-kattilappoovam-for-rs-7500000","Housing.com","4"
"3","3300","Thrissur","150","Koorkenchery","4.55k/sq.ft","Ready to move","3 BHK Independent House in Koorkenchery, Thrissur","https://housing.com/in/buy/resale/page/20290657-3-bhk-independent-house-in-koorkenchery-for-rs-15000000","Housing.com","4"
"4","2000","Thrissur","78","Puranattukara","3.9k/sq.ft","Ready to move","4 BHK Independent House in Puranattukara","https://housing.com/in/buy/resale/page/19762869-4-bhk-independent-house-in-puranattukara-for-rs-7800000","Housing.com","4"
"4","2400","Thrissur","125","Krishnapuram Village","5.21k/sq.ft","Ready to move","4 BHK Independent House in Krishnapuram Village, Thrissur","https://housing.com/in/buy/resale/page/17374103-4-bhk-independent-house-in-krishnapuram-village-for-rs-12500000-v2","Housing.com","4"
"2","1500","Thrissur","145","Chembukkav","9.67k/sq.ft","Ready to move","2 BHK Independent House in Chembukkav, Thrissur","https://housing.com/in/buy/resale/page/19869134-2-bhk-independent-house-in-chembukkav-for-rs-14500000","Housing.com","5"
"3","1230","Thrissur","80","Thiruvilwamala","6.5k/sq.ft","Ready to move","3 BHK Independent House in Thiruvilwamala, Thrissur","https://housing.com/in/buy/resale/page/20107123-3-bhk-independent-house-in-thiruvilwamala-for-rs-8000000","Housing.com","5"
"4.5","1500","Thrissur","45","Kolazhy","3.0k/sq.ft","Ready to move","4.5 BHK Independent House in Kolazhy","https://housing.com/in/buy/resale/page/19149459-4.5-bhk-independent-house-in-kolazhy-for-rs-4500000","Housing.com","5"
"4","3800","Thrissur","148","Pandikkavu, Viyyoor","3.89k/sq.ft","Ready to move","4 BHK Independent House in Pandikkavu, Viyyoor","https://housing.com/in/buy/resale/page/19299621-4-bhk-independent-house-in-viyyoor-for-rs-14800000","Housing.com","5"
"3","5662","Thrissur","70","Guruvayur","1.24k/sq.ft","Ready to move","3 BHK Independent House in Guruvayur","https://housing.com/in/buy/resale/page/14169448-3-bhk-independent-house-in-guruvayoor-for-rs-7000000-v3","Housing.com","5"
"4","3000","Thrissur","210","Veliyannur","7.0k/sq.ft","1st Sep, 2026","4 BHK Independent House in Veliyannur, Thrissur","https://housing.com/in/buy/resale/page/20086545-4-bhk-independent-house-in-veliyannur-for-rs-21000000","Housing.com","5"
"3","1800","Thrissur","55","Killannur","3.06k/sq.ft","Ready to move","3 BHK Independent House in Killannur","https://housing.com/in/buy/resale/page/20044767-3-bhk-independent-house-in-killannur-for-rs-5500000","Housing.com","5"
"4","2600","Thrissur","130","Guruvayur","5.0k/sq.ft","Ready to move","4 BHK Independent House in Guruvayur, Thrissur","https://housing.com/in/buy/resale/page/19430354-4-bhk-independent-house-in-guruvayoor-for-rs-13000000","Housing.com","5"
"3","2500","Thrissur","72.5","Guruvayur","2.9k/sq.ft","7th Jan, 2027","3 BHK Independent House in Guruvayur, Thrissur","https://housing.com/in/buy/resale/page/20025652-3-bhk-independent-house-in-guruvayoor-for-rs-7250000","Housing.com","5"
"3","2000","Thrissur","90","West Nada","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in West Nada, Thrissur","https://housing.com/in/buy/resale/page/20242988-3-bhk-independent-house-in-west-nada-for-rs-9000000","Housing.com","5"
"3","1650","Thrissur","90","Koorkenchery","5.45k/sq.ft","Ready to move","3 BHK Independent House in Koorkenchery, Thrissur","https://housing.com/in/buy/resale/page/20132014-3-bhk-independent-house-in-koorkenchery-for-rs-9000000","Housing.com","5"
"4","2250","Thrissur","90","Mannuthy","4.0k/sq.ft","Ready to move","4 BHK Independent House in Mannuthy, Thrissur","https://housing.com/in/buy/resale/page/20122657-4-bhk-independent-house-in-mannuthy-for-rs-9000000","Housing.com","5"
"2","700","Thrissur","15","Guruvayur","2.14k/sq.ft","Ready to move","2 BHK Independent House in Guruvayur, Thrissur","https://housing.com/in/buy/resale/page/20265032-2-bhk-independent-house-in-guruvayoor-for-rs-1500000","Housing.com","5"
